Train_CE,Valid_CE,Test_CE,Train_Acc,Valid_Acc,Test_Acc,model_name,dataset,best_step,sparsity,dropout,input_width,hidden1_width,hidden2_width,epsilon,epsilon_decay,l2_decay,initial_momentum,final_momentum,expid
132.24972,124.35219,124.85022,0.50228459375,0.545595068359375,0.544602490234375,dbm,PF00595,1000,False,True,81,1000,1000,0.1000,NONE,0.0100,0.5000,0.9000,exp51
133.68285,124.63568,125.05338,0.495659,0.546953076171875,0.546439501953125,dbm,PF00595,1000,False,True,81,500,500,0.1000,NONE,0.0100,0.0000,0.0000,exp366
134.98483,125.10894,125.80346,0.49001075,0.545812353515625,0.544760498046875,dbm,PF00595,3000,False,True,81,500,500,0.0100,NONE,0.0100,0.0000,0.0000,exp393
134.20467,126.60756,127.08485,0.4933008125,0.5353728515625,0.534646923828125,dbm,PF00595,1000,False,True,81,500,500,0.1000,INVERSE_T,0.0100,0.5000,0.9000,exp204
134.15929,126.80903,127.29881,0.49340771875,0.534029638671875,0.533481494140625,dbm,PF00595,1000,False,True,81,500,500,0.1000,NONE,0.0100,0.5000,0.9000,exp42
135.06629,128.16461,129.08621,0.48706703125,0.522108642578125,0.51987158203125,dbm,PF00595,121000,False,True,81,1000,1000,0.5000,INVERSE_T,0.0100,0.5000,0.9000,exp186
135.66170,128.73157,129.31239,0.4874383125,0.519669140625,0.516883935546875,dbm,PF00595,1000,False,True,81,1000,1000,0.5000,NONE,0.0100,0.5000,0.9000,exp24
136.12829,129.71132,130.26003,0.48447265625,0.5166271484375,0.51524443359375,dbm,PF00595,1000,False,True,81,500,500,0.5000,INVERSE_T,0.0100,0.5000,0.9000,exp177
136.30730,129.80450,130.72869,0.48217515625,0.5146271484375,0.512577783203125,dbm,PF00595,121000,False,True,81,500,500,0.5000,NONE,0.0100,0.0000,0.0000,exp339
136.16555,129.90367,130.44384,0.48426034375,0.5166271484375,0.514735791015625,dbm,PF00595,1000,False,True,81,500,500,0.5000,NONE,0.0100,0.5000,0.9000,exp15
6.70435,13.18294,13.36817,0.9784866875,0.958316015625,0.95797041015625,rbm1,PF00595,100000,True,False,81,1000,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp264
8.24900,13.32197,13.35697,0.9711535,0.95773828125,0.95720986328125,rbm1,PF00595,4000,True,False,81,1000,None,0.5000,NONE,0.0010,0.5000,0.9000,exp102
10.19554,13.97187,14.14229,0.965201875,0.9566123046875,0.95610859375,rbm1,PF00595,98000,False,False,81,500,None,0.1000,INVERSE_T,0.0010,0.5000,0.9000,exp288
18.91157,13.97296,14.04540,0.929172,0.95125927734375,0.9518765625,dbm,PF00595,183000,False,False,81,500,500,0.1000,INVERSE_T,0.0010,0.5000,0.9000,exp288
136.28072,132.37986,133.02031,0.48261284375,0.50675556640625,0.504197509765625,rbm1,PF00595,59000,False,True,81,100,None,0.1000,INVERSE_T,0.0100,0.5000,0.9000,exp195
136.43246,132.48979,132.85815,0.48205953125,0.505935791015625,0.504804931640625,rbm1,PF00595,84000,False,True,81,100,None,0.1000,NONE,0.0100,0.5000,0.9000,exp33
136.38226,132.49445,132.98298,0.48250125,0.5068345703125,0.50550615234375,rbm1,PF00595,90000,False,True,81,100,None,0.5000,INVERSE_T,0.0100,0.5000,0.9000,exp168
136.48976,132.77985,133.24793,0.4814354375,0.504602490234375,0.5025580078125,rbm1,PF00595,90000,False,True,81,100,None,0.0100,NONE,0.0100,0.5000,0.9000,exp60
137.05816,132.97842,133.41751,0.47913040625,0.503387646484375,0.50202470703125,rbm1,PF00595,4000,False,True,81,100,None,0.5000,NONE,0.0100,0.5000,0.9000,exp6
147.35843,135.43556,136.04802,0.4577466875,0.50338271484375,0.502083935546875,dbm,PF00595,8000,True,False,81,1000,1000,0.5000,NONE,0.0100,0.0000,0.0000,exp345
141.62208,136.71656,137.49556,0.45934203125,0.48839013671875,0.484350634765625,dbm,PF00595,3000,False,True,81,100,100,0.0100,NONE,0.0100,0.5000,0.9000,exp60
141.72178,137.00974,137.43020,0.45916446875,0.48658271484375,0.484730859375,dbm,PF00595,1000,False,True,81,100,100,0.1000,INVERSE_T,0.0100,0.5000,0.9000,exp195
141.69709,137.08900,137.50750,0.45936375,0.48687900390625,0.484701220703125,dbm,PF00595,1000,False,True,81,100,100,0.1000,NONE,0.0100,0.5000,0.9000,exp33
142.30115,138.00134,138.80908,0.4567514375,0.479708642578125,0.47637529296875,dbm,PF00595,121000,False,True,81,100,100,0.5000,INVERSE_T,0.0100,0.5000,0.9000,exp168
142.39779,138.23747,138.61121,0.45677421875,0.48072099609375,0.478449365234375,dbm,PF00595,1000,False,True,81,100,100,0.5000,NONE,0.0100,0.5000,0.9000,exp6
10.22504,14.01036,14.22889,0.9647734375,0.9560494140625,0.95518515625,rbm1,PF00595,98000,False,False,81,500,None,0.5000,NONE,0.0010,0.0000,0.0000,exp423
10.00146,14.14832,14.29014,0.9657954375,0.95598515625,0.95520986328125,rbm1,PF00595,98000,False,False,81,500,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp261
10.26851,14.19910,14.39722,0.964550875,0.9555654296875,0.95485927734375,rbm1,PF00595,67000,False,False,81,500,None,0.1000,NONE,0.0010,0.5000,0.9000,exp126
10.94857,14.23120,14.40657,0.9617706875,0.955654296875,0.9550271484375,rbm1,PF00595,98000,False,False,81,500,None,0.0100,NONE,0.0010,0.5000,0.9000,exp153
18.53747,14.53749,14.60052,0.930556125,0.9495111328125,0.949530859375,dbm,PF00595,187000,False,False,81,500,500,0.1000,NONE,0.0010,0.5000,0.9000,exp126
19.84697,14.75936,14.99627,0.9257853125,0.94913583984375,0.94812841796875,dbm,PF00595,121000,False,False,81,500,500,0.0100,NONE,0.0010,0.5000,0.9000,exp153
12.32856,14.84297,15.03347,0.955519375,0.95329384765625,0.9526765625,rbm1,PF00595,98000,False,False,81,500,None,0.0100,INVERSE_T,0.0010,0.5000,0.9000,exp315
