expid,model_name,Train_CE,Valid_CE,Test_CE,Train_Acc,Valid_Acc,Test_Acc,dataset,best_step,sparsity,dropout,input_width,hidden1_width,hidden2_width,epsilon,epsilon_decay,l2_decay,initial_momentum,final_momentum,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr
exp12,dbm,273.24931,114.85131,115.17676,0.45885790625,0.579792578125,0.578883935546875,PF00595,1000,True,False,81,500,500,0.5000,NONE,0.0100,0.5000,0.9000,-151.6558644256757,-155.1968208044724,-155.97774184987856,-128.442,-132.643,-133.121,0.481867,0.494263,0.497012
exp393,dbm,134.98483,125.10894,125.80346,0.49001075,0.545812353515625,0.544760498046875,PF00595,3000,False,True,81,500,500,0.0100,NONE,0.0100,0.0000,0.0000,-260.77826482938053,-265.54113901538346,-266.58901987747083,-131.357,-134.228,-134.722,0.493753,0.505444,0.507021
exp153,dbm,19.84697,14.75936,14.99627,0.9257853125,0.94913583984375,0.94812841796875,PF00595,121000,False,False,81,500,500,0.0100,NONE,0.0010,0.5000,0.9000,,,,-67.6226,-339.811,-344.055,0.120551,0.426355,0.429527
exp60,rbm,136.48976,132.77985,133.24793,0.4814354375,0.504602490234375,0.5025580078125,PF00595,90000,False,True,81,100,None,0.0100,NONE,0.0100,0.5000,0.9000,-182.07579406803171,-185.31528587942728,-186.2384884423951,-137.353,-140.274,-140.98,0.515001,0.523419,0.525932
exp107,dbm,7.78011,19.69609,19.55246,0.96488234375,0.9257825927734376,0.9253623046875,PF00240,3000,False,False,69,1000,1000,0.5000,NONE,0.0010,0.5000,0.9000,-99.761553141129639,-202.70754402042792,-199.88604753921368,-25.8442,-358.338,-351.087,0.046193,0.427637,0.420965
exp56,dbm,88.81063,80.84009,79.62483,0.62479515625,0.6802463989257812,0.6855362548828124,PF00240,4000,True,False,69,100,100,0.0100,NONE,0.0100,0.5000,0.9000,,,,-89.934,-105.812,-104.497,0.377113,0.435066,0.430784
exp51,rbm,110.99816,100.27077,100.79239,0.5909885625,0.66211357421875,0.659535791015625,PF00595,100000,False,True,81,1000,None,0.1000,NONE,0.0100,0.5000,0.9000,-211.60417339694436,-220.18838455773005,-220.8400513352907,-134.725,-144.976,-145.011,0.465115,0.489668,0.490858
exp236,dbm,58.61371,55.35876,54.56576,0.746710859375,0.7886666870117187,0.791115966796875,PF00240,3000,True,False,69,1000,1000,0.0100,INVERSE_T,0.0100,0.5000,0.9000,-96.135992126649171,-118.03619764984865,-116.1575842178728,-70.128,-108.071,-106.299,0.284394,0.398747,0.390899
exp189,rbm,69.11833,59.94038,60.26743,0.7537320625,0.82118515625,0.82089384765625,PF00595,100000,False,False,81,1000,None,0.5000,INVERSE_T,0.0100,0.5000,0.9000,-116.40090885665478,-128.03404792675343,-128.383701148635,-93.1541,-113.585,-113.987,0.339036,0.418757,0.41971
exp263,dbm,2.98373,38.66307,37.66745,0.990811796875,0.8528261108398437,0.8562318725585938,PF00240,49000,True,False,69,1000,1000,0.5000,INVERSE_T,0.0010,0.5000,0.9000,-231.50858717720791,-307.93711576449164,-307.31824305512771,-1.74624,-184.817,-182.501,0.004126,0.379843,0.376528
